--- Log opened Mon Dec 06 00:14:42 2010
00:14 Starting query in Bitlbee with piratskapartijasrbije
00:14 piratskapartijasrbije| e super
00:49 piratskapartijasrbije| taman kad dignem ruke od smaraca
00:49 playahater| nema kix
--- Log closed Mon Dec 06 00:54:36 2010
--- Log opened Mon Dec 06 11:45:46 2010
11:45          <-- piratskapartijasrbije has quit irc
--- Log closed Mon Dec 06 11:51:15 2010
--- Log opened Mon Dec 06 11:53:01 2010
11:53 Closing query with piratskapartijasrbije
--- Log closed Mon Dec 06 11:53:01 2010
--- Log opened Mon Jan 31 13:56:07 2011
13:56 Starting query in Bitlbee with piratskapartijasrbije
13:56 piratskapartijasrbije| video sam ovo na jednom sajtu http://imgur.com/RcpDn
--- Log closed Mon Jan 31 14:01:17 2011
--- Log opened Mon Jan 31 15:44:40 2011
15:44          <-- piratskapartijasrbije has quit irc
15:45 Closing query with piratskapartijasrbije
--- Log closed Mon Jan 31 15:45:00 2011
